State,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
United States,"67,521","68,703","63,179","61,136","59,039","56,516","53,657","51,939","51,017","50,054","49,276","49,777","50,303","50,233","48,201","46,326","44,334","43,318","42,409","42,228","41,990","40,696","38,885","37,005","35,492","34,076","32,264","31,241","30,636","30,126","29,943","28,906","27,225","26,061","24,897","23,618","22,415"
Alabama,"54,393","56,200","49,936","50,865","47,221","44,509","42,278","41,381","43,464","42,590","40,933","39,980","44,476","42,212","37,952","37,150","36,629","37,255","37,603","35,160","35,424","36,251","36,266","31,939","30,302","25,991","27,196","25,082","25,808","24,346","23,357","21,284","19,948","19,734","19,132","18,333","17,310"
Alaska,"74,476","78,394","68,734","77,987","75,723","75,112","67,629","61,137","63,648","57,431","57,848","61,604","63,989","62,993","56,418","55,891","55,063","51,837","52,774","57,363","52,847","51,396","50,692","47,994","52,779","47,954","45,367","42,931","41,802","40,612","39,298","36,006","33,103","33,233","31,356","34,782","32,356"
Arizona,"66,628","70,674","62,283","59,700","57,100","52,248","49,254","50,602","47,044","48,621","46,896","45,739","46,914","47,215","46,657","45,245","43,846","41,166","39,734","42,704","39,783","36,995","37,090","32,740","31,637","30,863","31,293","30,510","29,358","30,737","29,224","28,552","26,435","26,749","25,500","23,877","21,425"
Arkansas,"50,540","54,539","49,781","49,751","45,907","42,798","44,922","39,919","39,018","41,302","38,587","36,538","39,586","40,795","37,057","36,658","34,984","32,002","32,387","33,339","29,697","29,682","27,665","26,162","27,123","25,814","25,565","23,039","23,882","23,435","22,786","21,433","20,172","18,827","18,730","17,451","15,674"
California,"77,358","78,105","70,489","70,038","66,637","63,636","60,487","57,528","57,020","53,367","54,283","56,134","57,014","55,734","55,319","51,755","49,222","49,300","47,437","47,262","46,816","43,629","40,934","39,694","38,812","37,009","35,331","34,073","34,903","33,664","33,290","33,009","30,287","30,146","29,010","26,981","25,287"
Colorado,"82,611","72,499","73,034","74,984","70,566","66,596","60,940","63,371","57,255","58,629","60,233","55,930","60,943","61,141","55,697","50,449","50,886","49,940","48,294","49,397","48,240","48,177","46,599","43,233","40,950","40,706","37,833","34,488","32,484","31,499","30,733","26,806","26,214","26,476","27,192","28,182","25,801"
Connecticut,"79,043","87,291","72,812","74,304","75,923","72,889","70,161","67,781","64,247","65,415","65,998","64,851","64,682","64,141","62,404","56,835","55,100","54,965","53,387","53,347","50,172","50,593","46,508","43,985","42,119","40,243","41,097","39,516","40,841","42,154","38,870","42,321","36,213","32,862","32,721","31,090","29,951"
Delaware,"69,132","74,194","65,012","64,961","58,046","57,756","57,522","52,219","48,972","54,660","55,214","52,114","50,702","54,589","52,438","51,235","48,049","49,019","49,650","49,602","50,365","46,628","41,458","43,033","39,309","34,928","35,873","36,064","35,678","32,585","30,804","32,068","30,505","29,244","25,626","22,980","25,819"
District of Columbia,"88,311","93,111","85,750","81,282","70,982","70,071","68,277","60,675","65,246","55,251","56,928","53,141","55,590","50,783","48,477","44,993","43,451","45,044","39,070","41,169","41,222","38,670","33,433","31,860","31,966","30,748","30,116","27,304","30,247","29,885","27,392","26,752","26,741","27,455","24,322","21,076","20,408"
Florida,"57,435","58,368","54,644","53,086","51,176","48,825","46,140","47,886","46,071","45,105","44,066","45,631","44,857","45,794","45,676","42,990","40,535","38,972","38,024","36,421","38,856","35,831","34,909","32,455","30,641","29,745","29,294","28,550","27,349","27,252","26,685","26,085","25,406","24,489","22,849","21,343","19,785"
Georgia,"58,952","56,628","55,821","57,985","53,527","50,768","49,555","47,439","48,121","45,973","44,117","43,340","46,227","48,641","49,344","45,926","40,984","42,438","42,939","42,576","41,901","39,425","38,665","36,663","32,496","34,099","31,467","31,663","28,797","27,212","27,561","27,542","26,566","26,714","24,370","21,049","19,984"
Hawaii,"80,729","88,006","80,108","73,599","72,133","64,514","71,223","61,408","56,263","59,047","59,539","55,649","61,521","64,022","60,470","59,586","56,242","51,834","47,303","47,439","51,546","44,504","40,827","40,934","41,772","42,851","42,255","42,662","42,113","37,246","38,921","35,035","33,024","35,022","29,003","28,961","28,877"
Idaho,"66,499","65,988","58,728","59,497","56,564","51,624","53,438","51,767","47,922","47,459","47,050","46,778","47,420","49,184","46,213","44,176","44,358","42,372","37,715","38,241","37,611","35,800","36,680","33,404","34,709","32,676","31,536","31,010","27,704","26,116","25,305","24,654","23,450","20,755","20,749","20,761","21,092"
Illinois,"73,753","74,399","70,145","65,969","61,386","60,413","54,916","57,196","51,738","50,637","50,728","52,870","53,254","52,506","48,671","48,398","46,077","45,153","42,710","46,171","46,064","46,330","43,178","41,283","39,554","38,071","35,081","32,857","31,551","31,884","32,542","31,300","29,524","27,084","26,511","24,870","23,752"
Indiana,"66,360","66,693","59,892","58,767","56,094","51,983","48,060","50,553","46,158","44,445","46,139","44,305","46,520","47,453","45,407","42,437","42,329","42,425","41,047","40,379","40,865","40,838","39,731","38,889","35,147","33,385","27,858","29,475","28,530","27,089","26,928","25,898","26,293","22,519","22,728","22,675","22,770"
Iowa,"68,469","66,054","68,718","63,467","59,094","60,855","57,810","54,855","53,442","50,219","49,016","50,721","50,142","48,908","48,126","46,500","43,391","41,384","41,049","40,976","40,991","41,098","37,019","33,783","33,209","35,519","33,079","28,663","28,743","28,553","27,288","26,265","24,305","22,190","22,459","20,927","19,863"
Kansas,"72,815","73,151","63,938","56,900","56,810","54,865","53,444","51,485","50,003","46,147","46,054","44,717","47,877","48,497","45,552","42,027","41,066","44,232","42,619","41,415","41,059","37,348","36,711","36,471","32,585","30,341","28,322","29,770","30,346","29,295","29,917","26,862","25,566","25,583","23,926","22,788","24,629"
Kentucky,"56,525","55,662","54,555","49,672","45,369","42,387","42,786","42,158","41,086","39,856","41,104","42,664","41,148","39,452","39,485","36,699","35,610","36,936","36,762","38,437","36,265","33,738","36,252","33,452","32,413","29,810","26,595","24,376","23,485","23,764","24,780","23,283","19,907","20,673","19,874","17,361","17,680"
Louisiana,"50,935","51,707","49,973","43,565","42,196","45,922","42,406","39,622","39,085","40,658","39,300","45,433","39,563","41,313","36,488","37,236","36,429","33,507","34,008","33,322","30,718","32,654","31,735","33,260","30,262","27,949","25,676","26,312","25,439","25,299","22,405","22,861","20,497","21,349","20,890","21,179","18,949"
Maine,"63,440","66,546","58,663","53,316","50,856","50,756","51,710","50,121","49,158","49,693","47,931","47,502","47,228","47,894","45,642","43,923","41,329","37,113","36,853","36,612","37,266","38,862","35,640","32,772","34,696","33,858","30,316","27,438","29,617","27,868","27,464","28,221","26,402","23,600","23,424","20,519","20,648"
Maryland,"94,384","95,572","86,223","82,093","73,760","73,594","76,165","65,262","71,836","68,876","64,201","64,186","63,711","65,630","63,668","60,512","57,103","52,314","56,407","53,530","54,535","52,205","50,016","46,685","43,993","41,041","39,198","39,939","37,203","36,952","38,857","36,016","36,552","34,970","30,604","30,136","29,708"
Massachusetts,"86,725","87,707","86,345","76,243","72,266","67,861","63,151","62,963","63,656","63,313","60,934","59,373","60,320","58,463","55,330","56,017","52,019","50,955","49,855","52,253","46,753","44,005","42,345","42,023","39,494","38,574","40,500","37,064","36,359","35,714","36,247","36,086","33,213","32,241","30,339","28,207","26,959"
Michigan,"63,829","64,119","60,449","56,405","57,091","54,203","52,005","48,801","50,015","48,879","46,276","45,994","49,788","49,370","48,647","45,933","42,256","45,022","42,715","45,047","45,512","46,089","41,821","38,742","39,225","36,426","35,284","32,662","32,267","32,117","29,937","30,775","29,472","27,702","26,605","24,242","22,965"
Minnesota,"78,461","81,426","71,817","69,975","70,218","68,730","67,244","60,907","61,795","57,820","52,321","56,090","54,925","58,058","56,211","54,215","56,104","52,823","54,622","52,681","54,251","47,038","47,926","42,564","40,991","37,933","33,644","33,682","30,981","29,479","31,465","30,185","29,087","28,082","26,443","23,856","24,436"
Mississippi,"44,966","44,787","42,781","43,281","41,099","40,037","35,521","40,850","36,641","41,090","38,160","35,078","36,446","37,279","34,733","32,875","34,755","32,728","30,882","30,161","34,299","32,478","29,120","28,499","26,677","26,538","25,400","22,191","20,570","19,475","20,178","19,917","18,166","18,513","16,513","16,413","15,430"
Missouri,"61,901","60,597","61,726","56,530","55,016","59,196","56,630","50,311","49,764","45,774","45,817","48,769","46,038","46,005","44,579","42,986","42,137","43,762","42,776","41,339","45,097","41,383","40,201","36,553","34,265","34,825","30,190","28,682","27,361","27,926","27,332","26,497","23,443","23,720","21,925","21,939","20,775"
Montana,"56,442","60,195","57,679","57,407","57,075","51,395","51,102","44,132","45,088","40,277","41,280","40,437","42,900","43,655","41,105","37,313","33,956","34,108","34,835","32,126","32,777","31,038","31,577","29,212","28,684","27,757","27,631","26,470","26,525","24,827","23,375","23,692","22,231","20,474","20,328","20,236","19,536"
Nebraska,"72,024","73,071","67,575","59,583","59,374","60,474","56,870","53,774","52,196","55,616","52,504","49,595","50,728","49,174","48,145","47,923","43,786","43,974","42,796","43,611","41,750","38,626","36,413","34,692","34,014","32,929","31,794","31,008","30,048","29,549","27,482","26,319","25,159","23,268","21,772","21,799","21,397"
Nevada,"60,956","70,906","61,864","58,041","55,431","52,008","49,875","45,369","47,333","47,043","51,200","51,434","54,744","54,058","52,282","48,209","47,204","45,184","44,958","45,403","45,758","41,461","39,756","38,854","38,540","36,084","35,871","35,814","31,908","32,937","32,023","29,340","27,983","26,878","26,217","23,274","25,776"
New Hampshire,"88,235","86,900","81,346","75,630","76,260","75,675","73,397","71,322","67,819","65,880","66,633","64,131","66,176","67,576","61,970","56,984","56,815","55,567","55,321","51,331","50,926","46,055","44,958","40,998","39,407","39,171","35,245","37,964","39,436","36,032","40,805","37,532","34,625","32,338","30,548","26,403","25,914"
New Jersey,"85,239","87,726","74,176","71,240","68,468","68,357","65,243","61,782","66,692","62,338","62,968","64,777","65,306","60,508","68,059","63,368","55,275","56,045","54,568","51,771","50,405","49,734","49,826","48,021","47,468","43,924","42,280","40,500","39,000","40,049","38,734","39,120","36,287","34,241","31,715","30,980","27,776"
New Mexico,"50,822","53,113","48,283","45,601","48,451","45,119","46,686","42,127","43,424","41,982","45,134","43,542","42,102","44,356","40,028","38,947","39,562","35,105","35,457","33,124","35,093","32,574","31,543","30,086","25,086","25,991","26,905","26,758","25,860","26,540","25,039","22,602","19,296","20,758","19,845","20,423","20,630"
New York,"68,304","71,855","67,274","61,543","61,437","58,005","54,310","53,843","47,680","50,636","49,781","50,216","50,461","48,944","48,222","47,176","44,649","42,788","41,966","42,114","40,744","39,989","37,394","35,798","35,410","33,028","31,899","31,697","31,051","31,794","31,591","31,496","28,915","26,384","25,025","23,639","22,027"
North Carolina,"60,266","61,159","53,369","49,547","53,764","50,797","46,784","41,208","41,553","45,206","43,830","41,906","42,930","43,513","39,797","42,056","40,238","37,279","36,515","38,162","38,317","37,254","35,838","35,840","35,601","31,979","30,114","28,820","27,771","26,853","26,329","26,406","24,415","22,760","21,861","21,451","20,569"
North Dakota,"63,657","70,031","66,505","60,167","60,184","57,415","60,730","52,888","55,766","56,361","51,006","50,075","49,631","47,205","41,047","42,192","39,220","40,410","36,200","35,793","35,996","32,663","30,304","31,661","31,470","29,089","28,278","28,118","26,959","25,892","25,264","25,229","24,092","22,576","21,508","21,205","20,771"
Ohio,"60,110","64,663","61,633","60,688","53,985","53,301","49,644","46,398","44,375","44,648","45,886","45,879","46,934","49,099","45,900","44,203","43,055","43,520","42,684","41,785","42,962","39,489","38,925","36,134","34,070","34,941","31,855","31,285","31,404","29,790","30,013","29,021","27,740","25,773","25,115","25,174","23,123"
Oklahoma,"52,341","59,397","54,434","51,882","50,943","47,077","47,199","43,777","48,407","48,455","43,103","45,878","46,111","43,216","38,838","37,645","39,614","35,902","36,458","35,609","32,432","32,683","33,727","31,351","27,437","26,311","26,991","26,260","25,284","25,462","24,384","23,667","23,667","21,691","20,948","21,205","21,148"
Oregon,"76,554","74,413","69,165","62,498","59,135","60,834","58,875","56,307","51,775","51,526","50,602","49,098","51,727","50,236","47,091","44,159","40,994","41,638","41,802","41,273","42,499","40,619","39,067","37,247","35,492","36,374","31,456","33,138","31,927","30,190","29,281","28,529","27,748","25,038","24,773","21,894","21,399"
Pennsylvania,"70,117","70,582","64,524","61,285","60,979","60,389","55,173","53,952","51,904","49,910","48,314","48,172","51,402","48,437","48,477","46,300","44,106","42,933","42,498","43,499","42,176","37,758","39,015","37,517","34,899","34,524","32,066","30,995","29,882","30,367","29,005","28,690","26,742","25,424","23,807","22,877","20,346"
Rhode Island,"80,012","70,151","62,266","65,401","61,528","55,701","58,633","57,812","56,065","49,033","51,623","51,634","53,241","54,210","53,736","49,484","47,935","44,711","42,417","45,723","42,197","42,719","40,686","34,797","36,986","35,359","31,928","33,509","30,432","30,836","31,968","30,124","29,842","28,292","26,540","24,625","21,612"
South Carolina,"60,097","62,028","57,444","54,537","54,336","46,360","44,929","43,749","44,401","40,084","41,698","41,101","42,155","44,213","39,617","40,230","38,691","38,479","37,812","37,736","37,570","36,462","33,267","34,262","34,665","29,071","29,846","26,053","27,578","27,463","28,735","23,798","25,533","25,049","21,968","20,036","20,309"
South Dakota,"69,787","64,255","59,463","56,914","57,450","55,065","53,053","54,453","49,415","47,223","45,352","45,826","51,600","46,418","45,427","43,151","41,107","39,522","37,873","39,671","36,475","35,828","32,786","29,694","29,526","29,578","29,733","27,737","26,259","24,639","24,571","24,108","22,294","21,151","19,898","18,142","19,409"
Tennessee,"54,665","56,627","56,060","55,306","51,344","47,330","43,716","42,499","42,995","42,279","38,591","40,517","39,702","41,195","40,693","39,406","38,072","37,523","37,030","35,783","34,096","36,522","34,091","30,636","30,790","29,015","28,639","25,102","24,318","24,453","22,592","22,611","20,856","21,179","18,256","17,778","16,782"
Texas,"68,093","67,444","59,785","60,092","58,146","56,473","53,875","53,027","51,926","49,047","47,266","47,475","46,490","46,053","43,307","41,422","41,397","39,271","40,149","40,860","38,609","38,688","35,783","35,075","33,072","32,039","30,755","28,727","27,953","27,733","28,228","25,886","24,963","24,721","24,162","23,743","23,024"
Utah,"83,670","84,523","77,067","69,789","67,481","66,258","63,383","62,967","58,341","55,493","56,701","58,491","62,537","53,529","54,628","54,813","50,871","49,275","47,861","47,342","47,550","46,050","44,299","42,775","37,038","36,480","35,716","35,786","34,251","28,016","30,142","30,717","26,313","26,529","26,281","25,238","23,057"
Vermont,"66,902","74,305","70,066","63,682","60,837","59,494","60,708","54,842","55,582","51,862","55,928","52,318","50,706","47,390","51,981","50,704","47,329","43,261","42,999","40,794","39,594","41,584","39,372","35,053","32,358","33,824","35,802","31,065","32,755","29,155","31,098","31,295","28,988","25,415","24,599","26,000","22,578"
Virginia,"81,947","81,313","77,151","70,811","66,451","61,486","66,155","67,620","64,632","62,616","60,367","60,501","61,985","59,161","57,119","51,914","51,141","54,783","49,631","50,241","47,163","45,693","43,354","42,957","39,211","36,222","37,647","36,433","38,198","36,137","35,073","34,118","32,648","29,996","29,715","28,429","26,525"
Washington,"81,083","82,454","79,726","71,540","70,310","67,243","59,068","60,106","62,187","56,850","56,163","60,392","56,631","58,080","54,723","50,646","49,922","47,508","45,183","42,490","42,525","45,473","47,421","44,562","36,676","35,568","33,533","35,655","33,900","33,970","32,112","31,961","32,327","27,319","26,881","24,000","25,017"
West Virginia,"51,615","53,706","50,573","46,957","44,354","42,824","39,552","40,241","43,553","41,821","42,777","40,490","37,994","42,091","38,419","36,445","33,373","32,763","29,359","29,673","29,411","29,297","26,704","27,488","25,247","24,880","23,564","22,421","20,271","23,147","22,137","21,677","19,353","17,207","16,464","15,983","16,843"
Wisconsin,"67,094","67,355","62,629","63,482","59,817","55,425","58,080","55,258","53,079","52,058","50,351","51,237","51,200","51,277","51,692","44,650","45,732","46,269","45,903","45,346","45,088","45,667","41,327","39,595","40,001","40,955","35,388","31,766","33,308","31,133","30,711","29,123","29,575","26,369","26,430","23,246","20,743"
Wyoming,"65,108","65,134","62,539","59,536","57,829","60,925","55,690","55,700","57,512","54,509","52,201","52,470","53,337","48,744","47,041","44,718","45,397","42,555","39,763","39,719","39,629","37,248","35,250","33,423","30,953","31,529","33,140","29,442","30,209","29,050","29,460","29,521","26,419","27,590","23,559","22,081","23,816"